"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","AWND_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","41.995","-87.9336","201.8","2017-03-30","14.54",",,W","1.84",",,W,2400","0.0",",,W","43","H,,S","45",",,W","39",",,W"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","41.995","-87.9336","201.8","2017-03-31","14.54",",,W","0.02",",,W,2400","0.0",",,W","39","H,,S","44",",,W","36",",,W"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","41.995","-87.9336","201.8","2017-04-01","5.82",",,W","0.00",",,W,2400","0.0",",,W","45","H,,S","59",",,W","34",",,W"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","41.995","-87.9336","201.8","2017-04-02","6.04",",,W","0.00","T,,W,2400","0.0",",,W","50","H,,S","61",",,W","42",",,W"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","41.995","-87.9336","201.8","2017-04-03","8.50",",,W","0.19",",,W,2400","0.0",",,W","50","H,,S","54",",,W","46",",,W"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","41.995","-87.9336","201.8","2017-04-04","8.72",",,W","0.02",",,W,2400","0.0",",,W","49","H,,S","56",",,W","43",",,W"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","41.995","-87.9336","201.8","2017-04-05","18.12",",,W","1.04",",,W,2400","0.0",",,W","45","H,,S","47",",,W","40",",,W"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","41.995","-87.9336","201.8","2017-04-06","17.00",",,W","0.29",",,W,2400","0.0",",,W","43","H,,S","51",",,W","38",",,W"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","41.995","-87.9336","201.8","2017-04-07","10.96",",,W","0.00",",,W,2400","0.0",",,W","44","H,,S","54",",,W","37",",,W"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","41.995","-87.9336","201.8","2017-04-08","13.87",",,W","0.00",",,W,2400","0.0",",,W","50","H,,S","68",",,W","37",",,W"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","41.995","-87.9336","201.8","2017-04-09","18.79",",,W","0.00",",,W,2400","0.0",",,W","64","H,,S","77",",,W","57",",,W"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","41.995","-87.9336","201.8","2017-04-10","13.87",",,W","0.32",",,W,2400","0.0",",,W","69","H,,S","78",",,W","41",",,W"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","41.995","-87.9336","201.8","2017-04-11","9.40",",,W","0.00","T,,W,2400","0.0",",,W","47","H,,S","54",",,W","41",",,W"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","41.995","-87.9336","201.8","2017-04-12","7.16",",,W","0.00",",,W,2400","0.0",",,W","48","H,,S","59",",,W","38",",,W"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","41.995","-87.9336","201.8","2017-04-13","9.17",",,W","0.19",",,W,2400","0.0",",,W","50","H,,S","60",",,W","44",",,W"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","41.995","-87.9336","201.8","2017-04-14","9.40",",,W","0.06",",,W,2400","0.0",",,W","54","H,,S","66",",,W","47",",,W"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","41.995","-87.9336","201.8","2017-04-15","16.11",",,W","0.09",",,W,2400","0.0",",,W","70","H,,S","82",",,W","61",",,W"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","41.995","-87.9336","201.8","2017-04-16","11.63",",,W","0.59",",,W,2400","0.0",",,W","68","H,,S","73",",,W","52",",,W"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","41.995","-87.9336","201.8","2017-04-17","6.93",",,W","0.00",",,W,2400","0.0",",,W","59","H,,S","69",",,W","44",",,W"
